FechaPago,CantidadPago,IdCliente
2024-04-12 14:41:14,8425,648
2024-10-30 19:26:07,8392,498
2024-03-15 04:18:11,9723,17
2024-05-06 15:01:25,6080,796
2024-03-14 20:13:41,8516,42
2024-06-17 15:53:33,6487,773
2024-05-21 12:40:01,7347,133
2024-04-26 12:14:36,8293,412
2024-10-04 02:53:28,8472,462
2023-11-06 13:47:21,5287,59
2024-02-12 13:24:27,6044,174
2023-09-11 16:51:53,6840,488
2023-11-29 08:15:00,6065,153
2024-05-11 04:03:52,7653,223
2024-04-23 01:49:04,8959,37
2024-02-22 09:15:07,6449,848
2023-12-16 23:35:42,8483,254
2023-12-10 18:57:49,5967,703
2024-04-10 00:27:18,6313,2
2024-12-10 10:02:55,8434,358
2023-09-28 08:58:10,5267,258
2024-02-10 06:09:33,5409,109
2024-09-29 14:28:09,6803,108
2024-02-20 16:55:37,6056,131
2023-12-16 12:46:31,6806,522
2024-06-07 09:02:37,5784,675
2023-09-04 04:41:00,6311,337
2024-01-17 05:34:21,6514,713
2024-06-03 01:41:49,9690,560
2024-05-19 08:51:32,7768,274
2024-09-22 23:05:52,9228,367
2024-08-08 04:17:25,8631,802
2023-11-25 15:33:54,8291,17
2024-09-07 21:12:10,5697,607
2024-02-26 10:33:58,6611,384
2024-11-09 20:55:25,8573,718
2023-10-24 23:56:24,6846,338
2024-05-08 07:30:39,7451,500
2024-06-03 17:44:34,8561,587
2024-12-12 13:03:59,9155,166
2024-03-11 18:01:19,5274,316
2024-05-18 00:47:52,5959,460
2023-10-07 06:21:34,6209,293
2024-09-15 02:36:13,7364,10
2024-07-25 00:55:02,9246,353
2023-10-29 15:19:43,8095,182
2023-11-05 12:01:37,5798,833
2023-08-06 17:05:33,7920,121
2024-07-07 04:37:41,5122,493
2023-08-26 01:30:41,6630,53
2024-10-26 22:48:31,6986,792
2024-01-09 23:34:27,8122,842
2023-12-09 04:53:44,8956,50
2024-02-24 08:17:57,5149,319
2024-04-28 20:58:27,9307,321
2024-09-09 07:47:58,6059,590
2023-07-30 04:35:34,7600,320
2023-08-24 08:29:49,6643,138
2024-06-15 19:21:55,5681,400
2024-04-26 10:57:19,6360,430
2023-09-22 18:09:25,9316,332
2023-12-24 03:30:51,9142,41
2023-10-17 05:55:18,8016,538
2024-09-01 16:45:39,8160,537
2023-12-16 16:52:07,6703,784
2023-08-19 12:52:47,5171,188
